reporter,year,hs_code,value_billions,yoy_growth
India,2016,62,9.051089148,-3.1962919813851043
China,2017,61,71.82361299,-3.4803222275416665
China,2017,62,73.408647525,1.8646018582986246
Bangladesh,2017,61,15.954125327711001,16.152677473390735
Bangladesh,2017,62,16.02802237721,7.375408468252882
Viet Nam,2017,61,12.0586451019,11.638785198846941
Viet Nam,2017,62,12.337234686299999,6.277725126537641
India,2017,61,8.347736721819,5.532950157043314
India,2017,62,8.997092018889,-0.596581563036901
China,2018,61,73.41165183,2.2110261150759687
China,2018,62,71.322796649,-2.8414239280047395
Bangladesh,2018,61,16.249418632868,1.8508899679012745
Bangladesh,2018,62,16.649907827233,3.8799886560381287
Viet Nam,2018,61,13.85036203134,14.858360241132655
Viet Nam,2018,62,14.30129756008,15.919798266956969
India,2018,61,7.564780995127,-9.379257549480927
India,2018,62,8.066004666067,-10.348758808593066
China,2019,61,71.352803266,-2.8045255932500948
China,2019,62,66.663157206,-6.533169844603023
Viet Nam,2019,61,14.88492336413,7.469561665240515
Viet Nam,2019,62,15.15309779839,5.956104575347603
India,2019,61,7.879612139863,4.161801180216645
India,2019,62,8.362198559020001,3.67212647668137
China,2020,61,62.227840881,-12.788512808645446
China,2020,62,62.275543949,-6.58176636225247
Viet Nam,2020,61,13.700826898826,-7.955005453084565
Viet Nam,2020,62,13.329805832766,-12.032470125136541
India,2020,61,6.1203114493260005,-22.327249860899727
India,2020,62,6.10455885285,-26.998159517926858
China,2021,61,85.155932577,36.84539166294717
China,2021,62,68.39709138,9.829777538375561
Viet Nam,2021,61,15.734486761805,14.84333666863028
Viet Nam,2021,62,13.659989827092,2.477035288198826
India,2021,61,7.870323034401,28.593505405149273
India,2021,62,7.332885448126,20.121463727105166
China,2022,61,90.942323926,6.795053701945906
China,2022,62,76.874393698,12.39424388809441
Viet Nam,2022,61,17.320344735458,10.078866871607302
Viet Nam,2022,62,16.693637657745,22.208272985945683
India,2022,61,8.203849778837,4.237777064272486
India,2022,62,8.473393494189999,15.553332370076337
China,2023,61,82.310721188,-9.491293344365772
China,2023,62,70.176718861,-8.712491266352917
Viet Nam,2023,61,14.763153535708,-14.764089507496639
Viet Nam,2023,62,15.315313547219999,-8.256583368967094
India,2023,61,6.662122700291,-18.792726830799662
India,2023,62,7.8348031441920005,-7.5364179703900716
China,2024,61,85.263543484,3.58740909249922
China,2024,62,67.764396655,-3.4374964306583196
India,2024,61,7.409129831998,11.212749529130871
India,2024,62,8.06682119486,2.9613769024942957
